datetime,open,high,low,close,vol,band_10,band_9,band_8,band_7,band_6,band_5,mrs_close,RP,MRP,band_4,band_3,band_2,band_1,score
2003-11-06,105.6,106.44,105.1,106.4,28232300.0,,G,G,G,G,R,,100.0,,G,G,G,G,
2003-11-07,106.64,106.72,105.57,105.66,31519400.0,,G,G,G,G,R,,100.0,,B,G,G,G,
2003-11-10,105.74,105.84,105.01,105.18,25364400.0,,G,G,R,G,R,,100.0,,B,R,G,G,
2003-11-11,105.09,105.33,104.8,105.15,26269400.0,,G,G,R,G,R,,100.0,,R,R,G,G,
2003-11-12,105.23,106.47,105.16,106.33,27998100.0,,G,G,G,G,R,,100.0,,B,R,G,G,
2003-11-13,106.01,106.54,105.78,106.36,29568100.0,,G,G,G,G,R,,100.0,,B,R,G,G,
2003-11-14,106.4,106.95,105.29,105.46,48339400.0,,G,G,G,G,R,,100.0,,R,R,R,G,
2003-11-17,104.91,105.14,104.04,104.93,44237400.0,,R,G,R,R,R,,100.0,,R,R,G,B,
2003-11-18,105.24,105.45,103.7,103.84,40954700.0,,R,G,R,R,R,,100.0,,R,R,G,B,
2003-11-19,104.03,105.01,103.92,104.72,29759900.0,,R,G,R,R,R,,100.0,,R,R,G,B,
2003-11-20,104.02,105.24,103.75,103.75,53361300.0,,R,R,R,R,G,103.95596153846154,100.0,0.0,R,R,G,B,2.0
2003-11-21,104.24,104.33,103.62,104.21,29880100.0,R,R,R,R,R,G,103.99923076923076,100.0,0.0,B,R,R,B,1.0
2003-11-24,104.69,105.78,104.68,105.59,28660000.0,,G,G,G,G,G,104.06326923076924,100.0,0.0,B,R,R,B,5.0
2003-11-25,105.73,106.42,105.45,105.99,37514900.0,,G,G,G,G,G,104.13134615384615,100.0,0.0,B,R,G,B,6.0
2003-11-26,106.42,106.45,105.39,106.37,33053400.0,,G,G,G,G,G,104.21365384615385,100.0,0.0,B,R,G,B,6.0
